Title,Ingredients,Steps
Bandeng Keropok,2 bandeng ukuran sedang--Bumbu halus:--1 sdt ketumbar--1 bw putih--1/2 sdt garam--Secukupnya air(utk mencairkan bumbu halus)--Minyak (utk menggoreng)--Sambal:--6 cabe rawit(selera pedasnya)--1 bw putih--1/2 sdt terasi--1 iris jeruk nipis--2 sdm kecap manis--3 cabe rawit iris halus--,"Bersihkan bandeng, dikerat agak banyak kemudian dibalur dengan bumbu halus yg sdh dicampur air, diamkan 10 mnt spy bumbu meresap.--Setelah bumbu meresap,goreng jng terlalu kering. Sisihkan--Utk sambal, haluskan cabe, bw putih&terasi--Campur sambal dengan kecap manis, tambah perasan jeruk nipis&cabe iris.aduk rata.--Penyajian: tambahkan sambal diatas bandeng goreng ketika akan dihidangkan. Selamat mencoba.--"
Nila goreng sambal matah,"3 ekor ikan nila, ukuran sedang--2 siung bawang putih--1 ruas jari kunyit--1 sdt ketumbar halus--secukupnya Garam--Minyak untuk menggoreng--Sambal matah:--10 siung bawang merah--30 biji cabe rawit apa aja--1 buah jeruk nipis--secukupnya Royco--secukupnya Minyak goreng panas--","Cuci bersih ikan.--Uleg bawang putih dan kunyit, lalu lumuri ikan dgn bawang putih dan kunyit yg sudah halus tdi, tambah ketumbar dan garam secukupnya, diamkan slama 30 menit agar meresap k ikan.--Setelah 30 menit lalu goreng ikan.--Menunggu ikan matang kita bikin sambal matahnya, iris tipis bwang merah dan cabe rawit piringkan,--Iris dua bagian jeruk nipis, (klo yg doyan asem sih boleh satu biji jeruk nipis'a), lalu peras k dlam irisan bawang dan cabe tdi, masukan royco dan tuangkan mnyak goreng yg panas, atau yg sedang d pakai menggoreng ikan, kira""3/4 sendok makan, lalu tekan"" cabe dan bawangnya.--Ikan goreng sambal matah siap d sajikan.😉--"
Sop Ikan Patin,1/2 kg ikan patin--4 siung bawang merah--3 siung bawang putih--secukupnya Lada--seruas jahe--seruas kunyit--seruas lengkuas--salam sereh--daun jeruk--daun bawang--daun sledri--tomat--secukupnya wortel--secukupnya garam--secukupnya gulpas--secukupnya bubuk kaldu--jeruk nipis--,"Cuci bersih ikan patin lumuri dengan garam dan jeruk nipis--Iris tipis bamer dan baput--Tumis bamer, baput, daun salam, sereh, daun jeruk, jahe kunyit dan lengkuas yang dimemarkan--Masukkan air ke dalam tumisan bumbu secukupnya. masak hingga air mendidih--Masukkan gula garam bubuk kaldu, daun bawang, seledri, koreksi rasa--Masukkan ikan patin dan tomat--Masak hingga matang--"
Otak-otak ikan tengiri,1/4 ikan tengiri--200 gr tepung terigu--50 gr tepung kanji--3 siung bawah putih--5 siung bawang merah--2 batang daun bawang--1 shacet masako rasa sapi--1 butir telur ayam--,"Giling daging ikan tengiri sampai halus (sesuai selera)--Giling bawang merah dan putih--Sisir daun bawang tipis-tipis--Kocok telur dalam wadah--Campurkan bahan ke 4 dalam wadah--Aduk hingga rata, campurkan masako,garam,gula.--Setalah tercampur semua, masukan ke adonan kedalam plastik. Jika sudah gunting ujung plastik.--Siapkan air mendidih, masukan adonan yg d plastik dengan cara pencet perlahan plastik hingga membentuk lonjong.--Jika sudah mengapung, tiriskan--Tunggu 3-5 menit, otak-otak siap untuk di goreng--"
Gulai ikan mas kacang panjang,"2 ekor ikan mas, bersihkan. Beri jeruk nipis dan garam--Secukupnya kacang panjang--1 sachet santan instan--secukupnya Air--Bumbu halus:--4 bawang merah--2 bawang putih--2 kemiri--1/2 sdt ketumbar--Salam,sereh,daun jeruk,jahe geprek,laos geprek--Sedikit minyak untuk menumis--secukupnya Gula garam--Tambahan--5 bawang merah utuh yg kecil--10 cabe rawit utuh--1 biji asam kandis--","Haluskan bumbu lalu tumis dengan sedikit minyak sampai harum. Masukkan salam,sereh,daun jeruk,jahe,laos. Beri air secukupnya dan santan sachet. Aduk² agar tidak pecah sampai mendidih--Masukkan ikan, kacang panjang, dan bahan pelengkap. Beri gula garam. Tes rasa. Masak sampai semua matang--"
Pindang Serani Ikan Patin,"500 gr ikan patin--1 bh jeruk nipis--4 bh bawang merah, potong tipis--3 bh bawang putih, potong tipis--1 ruas jahe, bakar, geprek--1 ruas lengkuas, bakar, geprek--1 ruas kunyit, bakar, geprek--1 batang serai, geprek--3 lembar daun jeruk--2 lembar daun salam--2 ikat daun kemangi--2 bh tomat merah--10 bh cabe rawit--secukupnya air, garam, gula--","Cuci bersih ikan patin. Lumuri dengan jeruk nipis, diamkan sebentar, bilas hingga bersih.--Tumis bawang merah, bawang putih, jahe, lengkuas, kunyit, serai, daun jeruk, daun salam hingga harum. Tambahkan air, tunggu hingga mendidih.--Masukkan potongan tomat dan cabe, bumbui dengan garam dan gula secukupnya, tes rasa. Masukkan ikan patin, tunggu hingga matang (jangan sering diaduk). Terakhir masukkan daun kemangi.--Sajikan dengan taburan bawang goreng.--"
Ikan tongkol bumbu kuning sunda,"2 ikan tongkol, potong sesuai selera--10 cabe merah--15 cabe rawit/ sesuai selera--2 ruas kunyit--1 ruas jahe--2 butir kemiri--4 siung bawang putih--6 siung bawng merah--1 batang sereh / geprek--3 lembar daun salam--1 buah tomat--semuanya di uleg yaaaa--","Goreng ikan tongkol set mateng--Tumis bumbu yg sudah dihaluskan : jahe, kunyit, bawang, kemiri, cabe merah, daun salam & sereh--Aduk sampai matang & harum, lalu kasih air sedikit & cek rasa--Setelah rasa sudah pas, masukan ikan tongkol yg sudah digoreng lalu tumis hingga air sedikit meresap--Daaaannn siap disajikaannn😉😉🙏--"
Gurame saos mangga,1 ekor gurame--1 jeruk nipis--5 sdm saos tomat--1 sdm saos tiram--2 cabe kriting haluskan--1 ruas jahe--1 bawang bombay--1 wortel--1 mangga muda--1 gelas air--Gula--Garam--Larutan maizena--,Balurin ikan dgn jeruk nipis + sedikit garam--Goreng dlm minyak panas--Tumis bombay dan jahe sampai harum--Masukkan saos tomat dan saos tiram--Tuang air dan saos tomat saos tiram--Bumbuhi garam gula lada--Kentalkan dgn maizena--
Spageti Tuna Pedas,"1 bungkus fettucini/spagetti--1 kaleng tuna--2 buah tomat, buang biji--10 cabe rawit (atau sesuaikan)--1 buah bawang bombay--3 siung bawang putih--secukupnya Garam--secukupnya Minyak goreng--Air untuk merebus--secukupnya Oregano/italian herbs--Merica bubuk--","Rebus spagetti hingga aldente, tambahkan garam dan minyak goreng. Tiriskan.--Panaskan minyak goreng, tumis bawang bombay dan bawang putih hingga harum.--Masukan spagetti bersama dengan tuna, tomat, dan cabe. Bumbui dengan garam, oregano. Aduk hingga rata lalu sajikan selagi hangat.--"
Ikan Kembung Goreng Saus Kecap Pedas,1 ekor ikan kembung goreng--Resep saus :--2 siung bawang putih--1 buah cabe besar--5 buah cabe rawit potong kecil (optional)--1 sdm kecap manis--1/2 sdm bubuk kaldu ayam/sapi--1 sdm kecap ikan--1/3 sdm lada putih--2 sdm minyak goreng--secukupnya Air putih--,"Goreng ikan kembung segar, kemudian jika sudah masak, angkat dan tiriskan.--Tumis bawang putih, cabe besar, dan cabe rawit dengan minyak panas sampai setengah layu dan harum, kemudian tambahkan sedikit air putih.--Setelah itu masukan kecap manis, lada, kecap ikan, dan bubuk kaldu ayam/sapi dan aduk rata.--Setelah itu masukan ikan kembung goreng yang ditiriskan tadi, masak beberapa saat hingga bumbu kecap meresap ke ikan. Jika sudah meresap matikan api dan pindahkan di piring.--Siap disajikan dengan nasi hangat--"
Sup Ikan Mujaer,1 ekor ikan mujaer--1 ruas jari jahe (di geprek)--secukupnya Royco ayam--1/2 sdt merica bubuk--1 bh bawang bombay--2 sdm minyak untuk menumis--1 batang seledri (iris)--1 batang daun bawang (iris)--Bumbu halus :--4 siung bawang putih--1 sdt garam--secukupnya Pala--,"Rebus ikan ± 3 menit agar mudah dipisahkan dari duri dan kepala--Tumis bawang bombay, bumbu halus dan jahe geprek dengan minyak goreng.--Masukkan bumbu yg telah di tumis ke dalam air kaldu ikan beserta ikan yg telah di pisahkan dari durinya.--Masukkan merica bubuk--Masukkan daun bawang dan seledri--Aduk-aduk sambil cek rasa, tambahkan royco secukupnya.--Siap disajikan dengan taburan bawang goreng lebih nikmat--"
Tuna Asam Manis,200 gram tuna fillet--1 siung bawang putih cincang (untuk rendaman)--1 siung bawang putih (iris tipis)--1/2 siung bawang bombay (iris tipis)--2 buah cabai merah (iris menyerong)--1/2 buah wortel (iris tipis panjang-panjang)--2 buah tomat besar--1 sdm saus sambal--secukupnya Tepung serbaguna--secukupnya Garam--secukupnya Merica--secukupnya Gula--Kaldu ayam bubuk secukupnya (bisa diskip jika tidak suka)--1/2 sdt tepung maizena (larutkan dengan sedikit air matang)--Minyak untuk menggoreng dan menumis--,"Potong tuna hingga ketebalan 1,5 cm. Lumuri dengan 1 sdm tepung serbaguna, bawang putih cincang, sedikit garam, dan sedikit air. Biarkan selama 15 menit sampai bumbu meresap.--Taruh tepung serbaguna di piring terpisah. Gulingkan tuna yang sudah direndam tadi pada tepung serbaguna, lalu goreng dengan minyak panas dan api sedang. Ulangi langkah satu persatu sampai tuna habis. Tiriskan.--Jus tomat: parut tomat, lalu saring agar kulit dan bijinya tidak terbawa. Bisa juga tomat diblender dengan air sedikit, lalu saring. Sisihkan dahulu.--Tumis bawang putih, bawang bombay, cabai, dan wortel sampai layu dan harum.--Masukkan jus tomat yang tadi dibuat. Lalu tambahkan sedikit air, gula, garam, merica, saus sambal, dan kaldu ayam bubuk. Koreksi rasa. Masak hingga mendidih.--Tambahkan larutan maizena sedikit demi sedikit sampai saus agak kental. Jika kekentalannya dirasa cukup, jangan tambahkan semua.--Masukkan tuna yang sudah digoreng tadi. Aduk sebentar, lalu sajikan dengan nasi hangat.--"
Lele sambal kemangi delecious,5 lele--daun kemangi--bawang merah--bawang putih cabe besar--cabe kecil--tomat--terasi--royco--garam--,Lele di bersihkan dahulu lalu digoreng sampai matang--Buat sambalnya semua bahan tadi kecuali daun kemangi di ulek--Daun kemangi di cuci dulu--Siapkan ulekan biar enak kalau di ulek ketimbang di blender--Sambalnya di taruh di ulekan bersama lele goreng dan daun kemangi ditaruh pinggirnya--Siap disajikan dech ;)--
Cireng isi tongkol suwir pedas,♚ Bahan cireng--250 gram tapioka/kanji--20 gram terigu--20 gram santan bubuk--2 siung bawang putih parut--Secukupnya garam--Secukupnya air--♚ Bahan isian--Abon sapi/ ayam (me: tongkol suwir pedas)--,"Pertama rebus air secukupnya,--Siapkan wadah campur 250gr tapioka, 20gr terigu, 20gr santan bubuk, bawang putih yg telah diparut dan garam aduk rata.--Tambahkan air yg sudah mendidih sedikit-sedikit, aduk dengan sendok.. Bila sudah agak dingin ulen dengan tangan hingga kalis.--Setelah itu gilas adonan agak tipis, beri isian, bentuk sesuai selera.--Goreng dalam minyak bnyak dengan api sedang hingga kecoklatan.. Angkat dan sajikan.--Bisa diisi dengan sosis, bakso, ayam suwir..--Untuk resep tongkol suwir pedas bisa dilihat pada postingan sebelumnya. Happy cooking 😄😍--"
Pepes kakap fillet,1/4 kakap fillet--2/3 butir kelapa muda parut--5 Bj cabe rawit merah/setan--4 bj cabe keriting di potong potong--5 Bj bawang merah--4 siung bawang putih--5 butir kemiri--secukupnya Garam--secukupnya Gula pasir--sesuai selera Penyedap rasa--Daun salam--Lengkuas iris tipis tipis--Daun pisang untuk membungkus--,"Haluskan cabe rawit merah, bawang merah, bawang putih, kemiri, gula pasir dan garam, tambahkan sedikit penyedap rasa.--Campurkan bumbu halus, kelapa muda parut dan potongan cabe keriting lalu aduk hingga rata--Kemudian masukkan kakap fillet ke dalam campuran bumbu tadi, lalu aduk aduk sampe rata--Setelah itu siapkan daun pisang, taruh potongan daun salam dan lengkuas lalu taruh kakap fillet yang sudah tercampur bumbu diatasnya. Lalu gulung membentuk seperti lontong--Setelah semua terbungkus, lalu di kukus kira kira 30 menit--Setelah matang kemudian di bakar.--Pepes siap di hidangkan--Selamat mencoba dan terima kasih.--"
Bandeng kecil bumbu acar,500 gr bandeng kecil--3 siung bawang putih--7 siung bawang merah--2 batang cabe merah besar buang bijinya--1 ruas jahe--2 ruas kunyit--Kemiri potong setengah--1 sendok teh Ketumbar--1 ruas Laos--1 lembar daun jeruk--2 lembar daun salam--1 sendok teh garam--1 sendok teh gula--1/2 sachet Masako ayam--Wortel 2 batang potong panjang--Ketimun 2 batang potong panjang--1 sendok makan Cuka--,"Cuci bersih bandengnya,lalu beri perasan jeruk lemon dan juga garam,tunggu 2menit lalu goreng smp kering,sisihkan--Potong wortel dan juga ketimun memanjang lalu cuci bersih,sisihkan--Haluskan bumbu bawang merah,bawang putih,ketumbar, kemiri,jahe,kunyit,cabe merah besar,garam dan juga gula--Tumis bumbu sampai harum masukkan laos,daun jeruk dan daun salam,lalu masukkan potongan ketimun dan wortel beri air--Setelah mendidih masukkan bandengnya n beri masako dan juga cuka--"
Rabeg Kambing,1 kg daging kambing bagian paha beserta tulang--Bumbu halus--100 gr cabe--7 siung bawang putih--8 siung bawang mersh--7 butir kemiri--2 cm jahe--1 ruas kunyit--1/2 sdt klabet--1/2 sdt jinten--Bumbu lain--1 batang sereh--3 lembar daun salam--2 cm kayu manis--5 butir cengjeh--3 kapulaga hijau--5 sdm kecap manis--Garam--Gula--Pelengkap--Acar--Bawang goreng--,Tumis bumbu halus hingga harum. Masukan bumbu bumbu lain kecuali kecap.--Masukan daging kambing. Aduk sampai daging terbalut bumbu dan berubah warna--Pindahkan tumisan daging ke panci. Tambahkan air. Beri kecap gulz dan garam. Masak sampai daging empuk dan air tinggal sedikit--Sajikan dengan nasi dan pelebgkap--
Sayur tulang kambing,1.5 kg tulang sumsum kambing(direbus dahulu)agar bau amis hilang--Kacang panjang--Pepaya muda--10 buah Cabe rawit--2 buah Cabe merah besar--2 buah Cabe hijau besar--5 bawang putih--5 bawang merah--2 miri--Garam--1 bungkus masako--1/2 sendok makan Gula putih--Minyak goreng--Irisan potongan bawang merah 5 siung--Irisan potongan bawang putih 5 siung--Santan kelapa--,"Haluskan bawang merah 5 siung dan 5 bawang putih beserta cabe rawit dan miri.--Panaskan kompor ksh sedikit minyak goreng, masukkan irisan cabe besar merah, hijau serta bawang putih dan merah sampai setengah matang--Lalu masukkan cabe,miri,bawang merah dan bwang putih yg telah di haluskan,tumis sampai matang--Masukkan sedikit air pada tumisan tadi...lalu masukkan sayuran beserta tulang sumsum kambing yg sudah di rebus tadi--Terakhir masukkan santan, garam, 1bungkus masako, gula putih..tunggu sampai mendidih aduh terus agar santannya tidak pecah.--Matikan kompor...sayur tulang kambing siap di hidangkan--"
Sate Kambing,300 garam daging kambing--1/2 buah jeruk nipis--secukupnya kecap manis--bumbu kacang:--100 gram kacang tanah goreng--3 siung bawang merah--2 siung bawang putih--1 buah cabe merah besar--5 buah cabe rawit merah (sesuai selera)--2 butir kemiri--4 lembar daun jeruk--200 ml air--2 sdm kecap manis--2 sdm gula merah iris--secukupnya garam--bahan tambahan :--acar wortel timun bawang cabe rawit--bawang goreng--,"Potong daging kambing sesuai selera, beri perasan jeruk nipis, diamkan 10 menit, kemudian cuci bersih.. setelah itu tusukan daging pda tusuk sate--Buat bumbu kacang: 1. blender kacang tanah dengan air sampai halus. 2.haluskan bumbu (bawang cabe kemiri) tumis bumbu halus sampai harum. beri garam gula merah dan kecap.. aduk rata.. kemudian beri cairan kacang tanah.. aduk rata, koreksi rasa.. aduk terus agar tidak menggumpal... kekentalan saus kacang sesuai selera.. kemudian angkat.--Taruh dalam piring, saus kacang 3sdm dan kecap manis 3 sdm, aduk rata... baluri sate dengan bumbu ini sampai rata... kemudian bakar sampai matang...--Setelah matang sate disajikan demgan saus kacang, acar, bawang goreng, dan nasi/lontong.. nikmat satenya besar-besar.... 😁--"
Sop Kaki Kambing,"4 kaki kambing--2-3 buah kentang, potpng dadu besar--3-4 batang daun bawang, iris 2 cm--2-3 L air panas--2-3 sdm minyak utk menumis--Bumbu halus:--4 buah bawang merah--8 buah bawang putih--1 sdm garam--1 sdt lada bubuk--1/2 sdt pala bubuk--Bumbu lainnya:--5 buah cengkeh--4 buah kapulaga india--1 batang kayu manis--2 buah star anise--4 lembar salam koja (bay leaves)--","Bakar kaki kambing utk menghilangkan bulu2 halus dan baunya. Kerok sesekali lalu celupkan ke air panas mendidih. Lakukan hingga kaki benar2 bersih. Lalu potong2 sesuai selera.--Panaskan minyak, tumis bumbu halus hingga harum. Masukan air panas dan bumbu lainnya. Masak hingga mendidih.--Masukan kentang dan kaki kambing. Masak hingga kentang matang dan kaki kambing empuk.--Masukan sisa bahan. Masak 3-4 menit lalu matikan api. Sajikan hangat.--"
Kari kambing ala bundo,"Daging kambing ½ kg, potong-potong, lumuri dengan sedikit bumbu halus dan biarkan 15 menit--10 siung bawang merah, iris halus--1 buah tomat, potong tipis--6 butir cengkeh--3 buah peka--5 buah kapulaga--9 siung bawang putih, iris halus--500 ml santan dari 1 butir kelapa (1,5 bungkus segitiga santan kemasan)--150 ml susu cair--500 ml air--3 ruas jari kayu manis--2 lembar daun jeruk purut buang tulangnya--10 lembar daun kari--1 sdt  Garam dan gula sedikit hanya untuk menambah rasa--secukupnya Minyak goreng--Bumbu halus:--1/2 sendok teh jinten, sangrai--1 sendok teh adas, sangrai--10 siung bawang merah--15 buah cabai merah--10 buah cabai rawit merah--6 siung bawang putih--1 sendok makan ketumbar, sangrai--2,5 cm/ 1 ruas jari  jahe--5 cm/ 2 ruas jari  kunyit (diameter kecil)--2,5 cm/ 1 ruas jari  lengkuas--","Tumis hingga harum bawang merah iris, bawang putih, kayu manis, cengkeh, peka, kapulaga kemudian masukkan bumbu halus, masukkan daun jeruk dan daun kari,--Masukkan daging kambing dan buah tomat, masak hingga daging kambing berubah warna dan keluar airnya--Tambahkan air, masak hingga setengah matang--Masukkan santan dan susu cair, masak hingga matang atau empuk.--Daging kari kambing siap dihidangkan bersama acar, roti pratha dan es thai tea.--"
Telor dadar otak kambing,Otak kambing--2 butir telor ayam--Penyedap masako--3 siung Bawang merah--1 siung Bawang putih--Daun bawang secukupnnya--Cabe rawit 3 biji adanya--Garam--1 lembar Daun salam--Jahe kunyit seujung jari kelingking dikit aja--Minyak untuk numis--,Cuci otak. Kambing smpe bersih cuci semua bumbu--Geprek jahe kunyit dan campurkan ke otak kambing jgn lupa daun salam lalu kukus sekitar 15 menit kurg lbh--Bawang merah putih cabe daun bawang di iris ya ke mangkok lain campur semua bahan kecuali salam buang aja krna itu bekas kukusan aduk bersama telor otak kambing--Lalu goreng smpe. Kekuningan ya--Angkat tiriskan siap di santap pake nasi anget sedapp selamat mencoba--
Sate kambing siram sambal bawang kecap,"Bumbu daging--1 kg daging kambing--1,5 sdt ketumbar--1 bungkus royko--1 sdt gula--1,5 sdt bawang putih bubuk(3 siung bawang putih)--2 sdm minyak goreng--secukupnya Garam--secukupnya Kecap--Untuk kuah--3 siung bawang merah--6 buah cabe rawit--secukupnya Kecap--",Potong2 daging lalu masukkan bumbu daging...diamkan selama 1/2 jam--Tusuk2 sate--Lalu di bakar--Untuk kuah tinggal di potong2 saja bawang merah dan cabe rawit siramkan kecap sesui selera lalu di tekan2 degn sendok--
Sate Kambing Maranggi,"1 kg daging kambing potong agak besar karena daging mudah empuk--Secukupnya tusukan sate--Secukupnya kecap manis--1/4 nanas uk kecil atau 1/8 nanas uk sedang--Bumbu dihaluskan :--8 bawang putih--5 bawang merah--1 sdm ketumbar--1 sdm gula merah--1/4 sdt garam--Bahan sambal kecap :--10 bawang merah, potong2 kecil--20 cabe rawit, potong kecil--2 tomat merah besar, potong kotak kecil--1 bh jeruk sambal--Secukupnya kecap manis--","Parut nanas, kemudian peras dan saring airnya. Letakkan di piring ceper. Sisihkan.--Lumuri daging yg sudah dipotong agak besar (sekitar 2x2) dengan bumbu halus dan 2 sdm kecap, diamkan sebentar (sekitar 2 jam) dlm refrigator agar bumbu meresap.--Rangkai daging dgn menusuk daging dgn tusukannya--Letakkan telapak tangan pada air nanas, tipis2, kemudian tempelkan telapak tangan pd sate, lakukan merata pd semua sate, bolak balik. Cukup lakukan sekali agar daging tdk hilang cita rasanya.--Panaskan arang utk bakaran sate--Bakar sate setengah matang, kemudian balur dgn kecap manis yg dicampur mentega dan bakar lagi hingga matang.--Cara Membuat Sambal Kecap : Campur semua bahan, tambahkan perasan jeruk sambal.--Sajikan sate kambing dgn siraman sambal kecap.--Catatan, karena daging mudah empuk, hati2 saat membakarnya agar daging tdk lepas dr tusukannya saat membakar.--"
Soto babat kambing madura,"Jeroan kambing babat,usus campur--Bumbu halus ;--Bawang putih--Bawang merah--Merica--Bumbu yg di iris ;--Jahe--Lengkuas--Kunyit--Daun jeruk--Daun salam dan sereh sy gak pake karna lg kehabisan stok--Bahan pelengkap ;--Soun--Toge--Bawang daun dan seledri--Bawang putih dan merah goreng--Garam dan royco sapi--Sambel uleg--Jeruk nipis--","Bersihkan babat dan usus lalu rebus sampai empuk, lalu iris bumbu kemudian jahit pada benang, kemudian kupas bawang--Lalu tumis bumbu iris dan bumbu halus--Rebus air pada panci--Setelah bumbu sudah wangi lalu masukkan babat yg sudah diiris, ini trik saya agar babatnya gak bau--Kemudian masukkan bumbu dan babat pada panci yg airnya sudah mendidih lalu kasih garam dan royco sapi--Tes rasa, kemudian masukkan bawang daun seledri dan bawang goreng--Tata nasi lalu soun kemudian toge lalu kuah dan babatnya, siap dihidangkan, oya jangan lupa kasih jeruk nipis dan sambel ulek biar tambah nampoll--"
Oseng-oseng tulang kambing pedas,1 kilo tulang kambing yang sudah di potong kecil--2 siung bawang putih--5 siung bawang merah--1/4 cendok teh lada putih--8 buah cabe rawit atau sesuai selera--Minyak goreng--Kecap manis--Garam--,"Rebus tulang yang sudah di potong kecil selama 20mnt,sambil menunggu daging di tulang lunak,kita siapkan bumbunya--Bawang merah,bawang putih,cabe di haluskan setelah bumbu halus dan daging dalam tulang lunak kita sangrai bumbu yang sudah halus supaya menambah aroma,terus masukan tulang yang sudah di rebus aduk supaya bumbu merata,terus tuangkan kecap secukupnya--Setelah masak kita sajikan di atas piring lebar lalu taburi denga lada bubuk,selamat mencoba dan selamat menikmati--"
Gulai Kambing,"1/2 kg daging kambing, potong ukurannya sesuai selera--secukupnya Air untuk merebus pertama--Air untuk rebusan kedua--250 ml santan kental--2 sdm minyak untuk menumis--Bumbu- bumbu--8 butir bawang merah--6 butir bawang putih--3 butir kemiri--1 sdt ketumbar--1/2 sdt jinten--1 sdt merica--1 ruas jahe--1 sdm cabe giling--2 batang serai keprek--1 ruas lengkuas--3 cm kayu manis--2 lembar daun salam--3 lembar daun jeruk--3 buah cengkeh--2 buah kapulaga--3 buah cabe merah iris--1 buah tomat belah 4--secukupnya Bawang daun dipotong--1 sdm garam--secukupnya Bumbu penyedap--","Pertama cuci daging kambing hingga bersih. Lalu masukkan daging kambing ke dalam panci berisi air. Masukkan serai, jahe, daun jeruk. Lalu masak sampai mendidih. Sekitar 15 menit. Lalu buang air rebusan pertama. Rebus kembali daging dengan air baru sampai setengah matang.--Setelah itu haluskan bumbu bawang merah, putih, ketumbar, jinten, jahe, kemiri, cabai, merica.--Lalu bumbu halus ditumis dengan minyak. Masukkan lengkuas, serai, cengkeh, kayu manis, daun jeruk, dan daun salam.--Setelah daging kambing setengah masak, masukkan bumbu tumis ke dalam panci daging. Masak sampai daging matang. Setelah daging matang, masukkan santan kental secukupnya. Masukkan tomat dan Didihkan kembali sampai santan masak. Koreksi rasa apakah garam sudah cukup. Masukkan potongan bawang daun--Gulai kambing sudah siap dihidangkan dengan taburan bawang merah goreng.--Gulai kambing sudah siap dihidangkan dengan taburan bawang merah goreng.--"
Oseng kambing kecap asam manis simple,"1/4 kg daging kambing,potong sesuai selera--5 siung bawang merah--2 siung bawang putih--Secukupnya kecap manis--Secukupnya gula merah--Secukupnya garam--Secukupnya asam kanji--2 gelas air--Secukupnya cabe rawit (jika suka)--","Haluskan bawang merah,bawang putih, cabe (bila suka pedas),asam kanji.--Aduk bersama kambing dan biarkan hingga bumbu meresap--Panaskan minyak lalu masukan kambing yang sudah dibumbui,ungkep hingga stengah matang--Tuang air, kecap, garam dan gula.aduk dan terus masak hingga matang--"
Tongseng Kambing,1/2 kg daging kambing campur tulang--Secukupnya minyak untuk menumis--1 liter air--500 ml santan--3 lbr daun jeruk--2 lbr daun salam--1 buah serai memarkan--3/4 bungkus bumbu gulai siap pakai--Secukupnya kecap manis--Haluskan :--1 sdm ketumbar sangrai--5 siung bawang merah--3 siung bawang putih--1/2 sdt garam--Secukupnya merica butiran--Pelengkap:--Daun bawang--Kol--Tomat--Bawang merah goreng--,"Panaskan minyak, tumis bumbu halus, bumbu gulai, salam, serai, daun jeruk. Masukkan daging kambing, aduk. Beri air, masak sampai empuk. Tambah santan, kecap, masak sampai matang.--Menjelang matang masukkan kol dan tomat. Tutup wajan sebentar saja. Angkat.--"
Balado kentang dan ati kambing,Ati kambing--2 buah kentang--Sambal balado--4 cabe merah--6 cabe rawit--4 siung bawang merah--1 siuang bawang putih--1 buah tomat uk besar--Daun salam--,"Kukus hati kambing terlebih dahulu, lalu d goreng--Kupas kentang potong sesuai selera bersihkan dan goreng--Blender bahan untuk sambal balado--Tumis sambal balado sampai mengeluarkan minyak masukan ati dan kentang.tambahkan garam dan gula.selesai--"
Kambing goreng simple with kecap cabe,Secukupnya daging kambing potong dadu kayak sate (saya -+200gr)--2 sdt bawang putih bubuk(bisa bawang putih biasa di geprek)--2 sdt garam(suami suka asin)garam disesuaikan rada asin gpp ya--Secukupnya merica halus--Bumbu kecap:--Kecap--Cabe rawit--Bawang goreng--,"Godok air dalam panci sampai mendidih masukan daging dan bumbu semua--Godok sampai air sat(habis)sampai daging benar2 empuk ya..masak dgn api kecil aja biar cpt empuk dan ga alot--Setelah daging empuk airnya habis masukan minyak sy td 2-3 sdm--Aduk sebentar sampai harum..--Matikan kompor--Siapakan kecap,cabe rawit iris,sedikit bawang goreng aduk rata--Masukan daging tadi kedalam kecap cabe..siap hidangkan--Rasa nya kayak sate gt hehe enak simple selamat mencoba😊--"
Nasi goreng kari kambing,250 gr daging kambing potong kecil-kecil--2 porsi nasi--5 siung bawang merah--3 siung bawang putih--sesuai selera Cabe rawit--1 btg wortel kecil potong dadu--1 batang daun bawang--1 sdm bubuk kari--1/2 sdt merica bubuk--1 pucuk sdt pala bubuk--secukupnya Kecap manis--secukupnya Garam--Minyak goreng--,"Iris tipis bawang merah putih, cabe rawit--Tumis bumbu iris, masukkan wortel, lalu daging kambing sampai daging berubah warna--Masukkan nasi, aduk rata..--Tambahkan garam, merica, lada.. Aduk rata.--Tambah kecap manis, aduk rata.--Koreksi rata--Terakhir masukkan irisan daun bawang aduk rata..sampai daun agak layu--Siap di hidangkan!!--"
